"F [GHz]","Ldiff [] - $S='8um'","Ldiff [] - $S='11um'","Ldiff [] - $S='12um'","Ldiff [] - $S='14um'","Ldiff [] - $S='16um'","Qdiff [] - $S='8um'","Qdiff [] - $S='11um'","Qdiff [] - $S='12um'","Qdiff [] - $S='14um'","Qdiff [] - $S='16um'"
7,32.708876433004,13.8933428234452,12.1974778984875,10.1276578838909,8.55255728852089,2.50771228086476,6.46693165444485,7.21588389067458,8.44104107352178,9.88731762975912
7.05,35.5658451664259,14.3683180522056,12.5469631804577,10.3534138105282,8.69857517031609,2.21153830168153,6.22204097482568,6.98424707609091,8.22760939605141,9.68922905089928
7.1,38.7368279961889,14.8802917716905,12.9197733632141,10.5913227165528,8.85089194262537,1.91461404316178,5.97619938937694,6.75169201980967,8.01316475715626,9.49020469450603
7.15,42.0725855846222,15.4335513420496,13.3182264835725,10.8423552352113,9.00990665278192,1.61703386998291,5.72946866156407,6.51827463228396,7.79775762840976,9.29028972657021
7.2,45.1089786130235,16.0330378212167,13.7449471190119,11.1075860474824,9.17605242163564,1.3188916663939,5.48190998884318,6.28405022153563,7.58143789489022,9.08952863230346
7.25,46.6571162524896,16.6844650840874,14.2029161371595,11.3882077958676,9.34980009055538,1.02028080008412,5.23358399841359,6.04907349292234,7.36425485579879,8.88796522039464
7.3,44.1062322280849,17.394461953513,14.6955296704585,11.6855472050335,9.53166233669622,0.721294086565168,4.98455074334896,5.81339854924027,7.14625722543495,8.68564262761161
7.35,33.1657067452912,18.1707406108265,15.2266690727239,12.0010838054435,9.72219832618822,0.422023754078148,4.73486969908732,5.5770788911402,6.92749313451087,8.48260332372933
7.4,11.1327245971428,19.022293545091,15.8007838558734,12.3364717318526,9.92201898653382,0.122561409039191,4.48459976025977,5.34016741783776,6.70801013178458,8.27888911676542
7.45,-15.7560878338657,19.9596184426085,16.4229897796434,12.6935651578495,10.1317929932356,-0.177001997964504,4.23379923783901,5.10271642809731,6.48785518599349,8.07454115850516
7.5,-35.4988633809504,20.9949637787667,17.0991842591719,13.0744480316451,10.3522535819019,-0.47657620561573,3.98252585658925,4.86477762147133,6.26707468807041,7.86959995029851
7.55,-44.0751553468343,22.1425736140159,17.8361808396699,13.4814688970909,10.5842063162463,-0.776071674733179,3.7308367527998,4.62640209977695,6.04571445362503,7.66410534911239
7.6,-45.1727106687829,23.4188805325381,18.6418632315035,13.9172817152612,10.8285379650329,-1.07539962054999,3.47878847228451,4.38764036879167,5.82381972567357,7.45809657382181
7.65,-42.8937413657641,24.8425352608754,19.5253564777109,14.384893739189,11.0862266676983,-1.37447204439315,3.22643696863107,4.14854234015201,5.60143517760098,7.25161221172437
7.7,-39.5166106712433,26.4340384624282,20.4972066644074,14.8877216225327,11.3583535997531,-1.67320176475143,2.97383760168382,3.90915733343881,5.37860491634043,7.04469022526321
7.75,-36.0278127390431,28.2144886302703,21.5695481618012,15.4296570317904,11.6461163857754,-1.97150244772064,2.72104513624444,3.66953407843333,5.15537248575471,6.83736795894343
7.8,-32.7915365794174,30.2024421307049,22.7562128571794,16.0151430231405,11.9508445504781,-2.26928863681418,2.46811374097618,3.42972071752995,4.93178087020558,6.62968214642858
7.85,-29.9101801556777,32.406809040605,24.0726877946012,16.6492622309251,12.2740173474032,-2.56647578212747,2.21509698749684,3.18976480829037,4.7078724982976,6.42166891780303
7.9,-27.3845181478437,34.8114895876992,25.5357335102286,17.3378372964472,12.6172843603153,-2.86298026884519,1.96204784964723,2.94971332612672,4.48368924678266,6.21336380698817
